Date,Bitfinex-USD,Bithum-KRW
2019-10-23 20:00:54,{'USD': 8038},{'KRW': 9464000}
Date,Bitfinex-USD,Bithum-KRW
2019-10-23 20:01:04,{'USD': 8038},{'KRW': 9462000}
Date,Bitfinex-USD,Bithum-KRW
2019-10-23 20:01:14,{'USD': 8038.1},{'KRW': 9462000}
Date,Bitfinex-USD,Bithum-KRW
2019-10-23 20:01:24,{'USD': 8038.1},{'KRW': 9462000}
Date,Bitfinex-USD,Bithum-KRW
2019-10-23 20:01:34,{'USD': 8038.1},{'KRW': 9463000}
Date,Bitfinex-USD,Bithum-KRW
2019-10-23 20:11:16,{'USD': 8024.33},{'KRW': 9448000}
Date,Bitfinex-USD,Bithum-KRW
2019-10-23 20:11:36,{'USD': 8024.1},{'KRW': 9446000}
Date,Bitfinex-USD,Bithum-KRW
2019-10-23 20:11:56,{'USD': 8024},{'KRW': 9446000}
Date,Bitfinex-USD,Bithum-KRW
2019-10-23 20:12:06,{'USD': 8024},{'KRW': 9450000}
Date,Bitfinex-USD,Bithum-KRW
2019-10-23 20:12:16,{'USD': 8024},{'KRW': 9450000}
Date,Bitfinex-USD,Bithum-KRW
2019-10-23 20:12:26,{'USD': 8024},{'KRW': 9450000}
Date,Bitfinex-USD,Bithum-KRW
2019-10-23 20:12:36,{'USD': 8024},{'KRW': 9450000}
Date,Bitfinex-USD,Bithum-KRW
2019-10-23 20:12:46,{'USD': 8024},{'KRW': 9450000}
Date,Bitfinex-USD,Bithum-KRW
2019-10-23 20:12:56,{'USD': 8023.8},{'KRW': 9450000}
Date,Bitfinex-USD,Bithum-KRW
2019-10-23 20:13:06,{'USD': 8019.3},{'KRW': 9444000}
Date,Bitfinex-USD,Bithum-KRW
2019-10-23 20:34:53,8013.5,9445000
Date,Bitfinex-USD,Bithum-KRW
2019-10-23 20:35:03,8013.3,9446000
Date,Bitfinex-USD,Bithum-KRW
2019-10-23 20:35:13,8013.3,9446000
Date,Bitfinex-USD,Bithum-KRW
2019-10-23 20:39:08,8009.3,9446000
Date,Bitfinex-USD,Bithum-KRW
2019-10-23 20:39:18,8009.1,9446000
Date,Bitfinex-USD,Bithum-KRW
2019-10-23 20:39:28,8009.1,9446000
Date,Bitfinex-USD,Bithum-KRW
2019-10-23 20:39:38,8009,9446000
Date,Bitfinex-USD,Bithum-KRW
2019-10-23 20:39:48,8009,9446000
Date,Bitfinex-USD,Bithum-KRW
2019-10-23 20:39:58,8008,9446000
Date,Bitfinex-USD,Bithum-KRW
2019-10-23 20:40:08,8008,9439000
Date,Bitfinex-USD,Bithum-KRW
2019-10-23 20:40:18,8000,9439000
Date,Bitfinex-USD,Bithum-KRW
2019-10-23 20:40:28,8001.96,9439000
Date,Bitfinex-USD,Bithum-KRW
2019-10-23 20:40:38,8002.1,9436000
Date,Bitfinex-USD,Bithum-KRW
2019-10-23 20:40:48,8002.1,9436000
Date,Bitfinex-USD,Bithum-KRW
2019-10-23 20:40:58,8001.09,9436000
Date,Bitfinex-USD,Bithum-KRW
2019-10-23 20:41:08,8001.09,9430000
Date,Bitfinex-USD,Bithum-KRW
2019-10-23 20:41:18,8001.09,9430000
Date,Bitfinex-USD,Bithum-KRW
2019-10-23 20:41:28,8000.1,9435000
Date,Bitfinex-USD,Bithum-KRW
2019-10-23 20:43:52,7999.2,9425000
Date,Bitfinex-USD,Bithum-KRW
2019-10-23 20:44:52,7995,9419000
Date,Bitfinex-USD,Bithum-KRW
2019-10-23 20:45:52,7995,9427000
Date,Bitfinex-USD,Bithum-KRW
2019-10-23 20:46:52,7995.3,9429000
Date,Bitfinex-USD,Bithum-KRW
2019-10-23 20:47:52,7995.28,9426000
Date,Bitfinex-USD,Bithum-KRW
2019-10-23 20:48:52,7995.2,9430000
Date,Bitfinex-USD,Bithum-KRW
2019-10-23 20:49:52,7997.7,9440000
Date,Bitfinex-USD,Bithum-KRW
2019-10-23 20:50:52,7997.65,9434000
Date,Bitfinex-USD,Bithum-KRW
2019-10-23 20:51:52,7997.6,9422000
Date,Bitfinex-USD,Bithum-KRW
2019-10-23 20:52:52,7997.4,9428000
Date,Bitfinex-USD,Bithum-KRW
2019-10-23 20:53:52,7997.3,9428000
Date,Bitfinex-USD,Bithum-KRW
2019-10-23 20:54:52,7997.4,9424000
Date,Bitfinex-USD,Bithum-KRW
2019-10-23 20:55:52,7997.4,9424000
Date,Bitfinex-USD,Bithum-KRW
2019-10-23 20:56:52,7997.4,9430000
Date,Bitfinex-USD,Bithum-KRW
2019-10-23 20:57:52,7997.2,9429000
Date,Bitfinex-USD,Bithum-KRW
2019-10-23 20:58:52,7996.8,9430000
Date,Bitfinex-USD,Bithum-KRW
2019-10-23 20:59:52,7996.54,9430000
Date,Bitfinex-USD,Bithum-KRW
2019-10-23 21:00:52,7995.09,9428000
Date,Bitfinex-USD,Bithum-KRW
2019-10-23 21:01:52,7995,9425000
